Player,Value
Ederson,20000000
Stefan Ortega,8000000
Marcus Bettinelli,600000
Scott Carson,100000
Josko Gvardiol,75000000
Rúben Dias,65000000
Abdukodir Khusanov,35000000
Vitor Reis,30000000
Manuel Akanji,28000000
John Stones,25000000
Nathan Aké,25000000
Jahmai Simpson-Pusey,5000000
Max Alleyne,500000
Rayan Aït-Nouri,35000000
Josh Wilson-Esbrand,4000000
Rico Lewis,40000000
Kyle Walker,4000000
Issa Kaboré,4000000
Rodri,110000000
Kalvin Phillips,12000000
Jacob Wright,800000
Tijjani Reijnders,60000000
Nico González,40000000
Matheus Nunes,35000000
Mateo Kovacic,20000000
Nico O'Reilly,18000000
İlkay Gündoğan,5000000
Bernardo Silva,38000000
Kevin de Bruyne,20000000
James McAtee,20000000
Claudio Echeverri,18000000
Jérémy Doku,50000000
Jack Grealish,28000000
Phil Foden,100000000
Savinho,50000000
Rayan Cherki,45000000
Oscar Bobb,25000000
Erling Haaland,180000000
Omar Marmoush,75000000
Divin Mubama,4000000
Robert Sánchez,20000000
Filip Jørgensen,18000000
Mike Penders,12000000
Gabriel Slonina,3500000
Lucas Bergström,700000
Levi Colwill,55000000
Renato Veiga,25000000
Trevoh Chalobah,25000000
Wesley Fofana,25000000
Axel Disasi,22000000
Benoît Badiashile,22000000
Tosin Adarabioyo,20000000
Mamadou Sarr,20000000
Aarón Anselmino,80000000
Harrison Murray-Campbell,500000
Marc Cucurella,35000000
Ben Chilwell,15000000
Ishé Samuels-Smith,700000
Malo Gusto,35000000
Reece James,30000000
Josh Acheampong,8000000
Genesis Antwi,350000
Moisés Caicedo,90000000
Roméo Lavia,40000000
Dário Essugo,20000000
Sam Rak-Sakyi,800000
Enzo Fernández,75000000
Andrey Santos,35000000
Kiernan Dewsbury-Hall,20000000
Carney Chukwuemeka,18000000
Cesare Casadei,15000000
Mathis Amougou,10000000
Cole Palmer,120000000
Harvey Vale,1500000
Omari Kellyman,1500000
Jadon Sancho,28000000
Tyrique George,10000000
Pedro Neto,50000000
Noni Madueke,40000000
João Félix,20000000
João Pedro,50000000
Nicolas Jackson,50000000
Liam Delap,40000000
Christopher Nkunku,35000000
Deivid Washington,8000000
Marc Guiu,8000000
David Datro Fofana,6000000
Shumaira Mheuka,800000
David Raya,40000000
Aaron Ramsdale,16000000
Neto,1500000
Jack Porter,400000
Alexéi Rojas,250000
William Saliba,80000000
Gabriel Magalhães,75000000
Jakub Kiwior,28000000
Takehiro Tomiyasu,18000000
Ayden Heaven,5000000
Zane Monlouis,400000
Maldini Kacurri,300000
Myles Lewis-Skelly,45000000
Riccardo Calafiori,35000000
Oleksandr Zinchenko,20000000
Kieran Tierney,9000000
Jurriën Timber,55000000
Ben White,45000000
Thomas Partey,14000000
Jorginho,6000000
Jack Henry-Francis,200000
Declan Rice,120000000
Mikel Merino,35000000
Martin Ødegaard,85000000
Ethan Nwaneri,55000000
Gabriel Martinelli,55000000
Leandro Trossard,22000000
Reiss Nelson,16000000
Bukayo Saka,150000000
Raheem Sterling,10000000
Kai Havertz,65000000
Gabriel Jesus,32000000
Eddie Nketiah,18000000
Alisson,20000000
Caoimhín Kelleher,20000000
Vitezslav Jaros,4000000
Harvey Davies,500000
Ibrahima Konaté,60000000
Virgil van Dijk,23000000
Joe Gomez,20000000
Jarell Quansah,20000000
Amara Nallo,1000000
Konstantinos Tsimikas,18000000
Andrew Robertson,18000000
James Norris,150000
Trent Alexander-Arnold,75000000
Conor Bradley,30000000
Ryan Gravenberch,75000000
Wataru Endo,8000000
Tyler Morton,7000000
Alexis Mac Allister,100000000
Curtis Jones,45000000
Trey Nyoni,4500000
James McConnell,2000000
Dominik Szoboszlai,80000000
Harvey Elliott,30000000
Luis Díaz,70000000
Cody Gakpo,70000000
Diogo Jota,40000000
Mohamed Salah,50000000
